reference;quantity;id_shop
2429830;-28;1
2429840;-28;1
2429880;-28;1
2429820;-29;1
2429855;-29;1
2429860;-30;1
2429870;-30;1
2586436;-24;1
2586526;-24;1
2586449;-24;1
2586401;-25;1
2586556;-25;1
2586414;-25;1
2586531;-25;1
2586584;-24;1
2437500;-19;1
2437600;-19;1
2437800;-19;1
2437400;-19;1
2437700;-17;1
2797700;-11;1
2122200;-11;1
2262200;-22;1
2262100;-22;1
2230301;-25;1
2230352;-35;1
2230318;-35;1
2230302;-29;1
2230349;-35;1
2230331;-34;1
2230356;-35;1
2230314;-27;1
2230326;-34;1
