Identifiant;Active (0/1);Nom;Catégorie parente;Catégorie racine (0/1);Description;Balise de titre;Méta mots-clés;Méta description;URL simplifiée;URL de l'image;ID ou nom de la boutique
40;1;Orientales;5;0;Nulla vitae elit libero, a pharetra augue. Curabitur blandit tempus porttitor. Donec id elit non mi porta gravida at eget metus. Cras justo odio, dapibus ac facilisis in, egestas eget quam. Morbi leo risus, porta ac consectetur ac.;Bougies parfumées orientles - Bougies la Française;bougies parfumées orientales, parfum oriental, bougies orientales, bougie orientale;Découvrez toutes nos bougies parfumées orientales.;;;1
41;1;Régressives;5;0;1Nulla vitae elit libero, a pharetra augue. Curabitur blandit tempus porttitor. Donec id elit non mi porta gravida at eget metus. Cras justo odio, dapibus ac facilisis in, egestas eget quam. Morbi leo risus, porta ac consectetur ac.;Bougies parfumées régressives - Bougies la Française;0;;;;1
41;1;Fruitées;5;0;Nulla vitae elit libero, a pharetra augue. Curabitur blandit tempus porttitor. Donec id elit non mi porta gravida at eget metus. Cras justo odio, dapibus ac facilisis in, egestas eget quam. Morbi leo risus, porta ac consectetur ac.;Bougies parfumées fruitées - Bougies la Française;;;;;1
41;1;Epicées;5;0;Nulla vitae elit libero, a pharetra augue. Curabitur blandit tempus porttitor. Donec id elit non mi porta gravida at eget metus. Cras justo odio, dapibus ac facilisis in, egestas eget quam. Morbi leo risus, porta ac consectetur ac.;Bougies parfumées épicées - Bougies la Française;;;;;1
41;1;Tendances;5;0;Nulla vitae elit libero, a pharetra augue. Curabitur blandit tempus porttitor. Donec id elit non mi porta gravida at eget metus. Cras justo odio, dapibus ac facilisis in, egestas eget quam. Morbi leo risus, porta ac consectetur ac.;Bougies parfumées tendances - Bougies la Française;;;;;1
41;1;Parfums de saison;5;0;Nulla vitae elit libero, a pharetra augue. Curabitur blandit tempus porttitor. Donec id elit non mi porta gravida at eget metus. Cras justo odio, dapibus ac facilisis in, egestas eget quam. Morbi leo risus, porta ac consectetur ac.;Bougies parfumées parfums de saison - Bougies la Française;;;;;1
