"ID";"Active";"Quantity"
"2024437";"0";"50"
"2024537";"0";"50"
"2024637";"0";"30"
"2024211";"1";"20"
"2024311";"1";"20"
"2024411";"1";"20"
"2024511";"1";"22"
"2024611";"1";"20"
"2636550";"1";"40"
"2615850";"0";"0"
"2620050";"0";"0"
"2635650";"0";"0"
"2634850";"0";"0"
"2634100";"1";"47"
"2635350";"0";"0"
"2634750";"0";"0"
"2611150";"0";"0"
"2635750";"0";"0"
"2628250";"0";"0"
"2600180";"0";"0"
"2630550";"0";"0"
"2636650";"0";"0"
"2700710";"0";"0"
"2700715";"1";"45"
"2438800";"1";"24"
"2438700";"1";"30"
"2438400";"1";"30"
"2406260";"0";"0"
"2127600";"0";"0"
"2126300";"0";"1"
"2438600";"0";"0"
"2640500";"0";"0"
"2642350";"0";"0"
"2640650";"0";"0"
"2640750";"0";"0"
"2024291";"0";"50"
"2024391";"0";"50"
"2024491";"0";"50"
"2024591";"0";"50"
"2024691";"0";"30"
"2024290";"0";"50"
"2024390";"0";"50"
"2024490";"0";"50"
"2024590";"0";"50"
"2024690";"0";"30"
"2459205";"0";"18"
"2459215";"0";"50"
"2459210";"0";"38"
"2459220";"0";"50"
"2459230";"0";"50"
"2459225";"0";"50"
"2510220";"0";"23"
"2510290";"0";"0"
"2510285";"0";"34"
"2700330";"0";"30"
"2700325";"0";"50"
"2700815";"0";"20"
"2700810";"0";"30"
"2700805";"0";"50"
"2530510";"0";"36"
"2291210";"0";"51"
"2510501";"0";"0"
"2510505";"0";"0"
"2510515";"0";"0"
"2510510";"0";"0"
"2510520";"0";"0"
"2510475";"0";"30"
"2510470";"0";"0"
"2510465";"0";"0"
"2510450";"0";"20"
"2510445";"0";"20"
"2700338";"0";"0"
"2510530";"0";"50"
"2510535";"0";"50"
"2510540";"0";"20"
"2700335";"0";"0"
"2510455";"0";"0"
"2510460";"0";"36"
"2510375";"0";"50"
"2510370";"0";"0"
"2700305";"0";"0"
"2700310";"0";"50"
"2510430";"0";"50"
"2510420";"0";"0"
"2510425";"0";"0"
"2510496";"0";"0"
"2700315";"0";"50"
"2700320";"0";"50"
"2510345";"0";"50"
"2510555";"0";"0"
"2510560";"0";"50"
"2510550";"0";"0"
"2510545";"0";"0"
"2510440";"0";"50"
"2510435";"0";"50"
"2510415";"0";"0"
"2510405";"0";"50"
"2510410";"0";"0"
"2510490";"0";"0"
"2510495";"0";"0"
