Identifiant;Active (0/1);Nom;Catégorie parente;Catégorie racine (0/1);Description;Balise de titre;Méta mots-clés;Méta description;URL simplifiée;URL de l'image;ID ou nom de la boutique
88;1;Poudrées;41;0;;;;;bougies-poudrees;;1
89;1;Cloche parfumeur;41;0;;;;;cloche-parfumeur;;1
