"ID";"Quantité"
"2510455";"0"
"2634750";"0"
"2100502";"14"
"2381440";"30"
"2391565";"8"
"2510065";"40"
"2600613";"13"
"2024304";"50"
"2230701";"23"
"2389995";"50"
"2429936";"30"
"2797705";"0"
"2204004";"13"
"2386820";"0"
"2392043";"29"
"2510495";"0"
"2636650";"0"
"2100541";"14"
"2381480";"28"
"2391705";"0"
"2510140";"0"
"2600623";"8"
"2024384";"20"
"2230752";"19"
"2390060";"1"
"2437400";"20"
"2586436";"30"
"2204044";"14"
"2386945";"0"
"2392054";"28"
"2510531";"8"
"2700220";"0"
"2100590";"17"
"2381620";"20"
"2391850";"0"
"2510205";"0"
"2600634";"9"
"2024414";"0"
"2237602";"22"
"2390140";"32"
"2438800";"24"
"2586756";"12"
"2386970";"24"
"2419300";"0"
"2510560";"50"
"2700275";"0"
"2157300";"34"
"2381660";"23"
"2391900";"0"
"2510250";"0"
"2600652";"8"
"2024490";"50"
"2240231";"16"
"2390420";"0"
"2459105";"0"
"2600240";"0"
"2600655";"0"
"2024501";"30"
"2240256";"20"
"2390460";"28"
"2600306";"115"
"2230384";"20"
"2387336";"44"
"2425610";"42"
"2510581";"50"
"2700340";"50"
"2202025";"15"
"2381715";"22"
"2391965";"30"
"2510315";"50"
"2600668";"46"
"2024556";"20"
"2262200";"39"
"2391240";"40"
"2459310";"0"
"2600326";"0"
"2230526";"29"
"2388925";"20"
"2429335";"49"
"2510606";"15"
"2700365";"50"
"2202044";"11"
"2381755";"22"
"2392006";"29"
"2510370";"0"
"2620050";"0"
"2024611";"19"
"2361000";"28"
"2391355";"22"
"2510005";"0"
"2600435";"0"
"2024211";"20"
"2230601";"33"
"2429880";"50"
"2511210";"0"
"2700373";"30"
"2202081";"12"
"2381795";"21"
"2392022";"12"
"2510430";"50"
