ID produit*;Attribut (Nom:Type:Position)*;Valeur (Valeur:Position)*;Référence fournisseur;Référence;EAN13;UPC;Prix d'achat;Impact sur le prix;Eco taxe;Quantité;Quantité minimale;Impact sur le poids;Valeurs par défaut (0 = Non, 1 = oui);Position de l'image;URL de l'image;Supprimer les images existantes (0 = non, 1 = oui);ID ou nom de la boutique
2240226;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2240252;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2240225;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2240256;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2240218;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2240287;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2230549;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230501;Couleur:color:0;Blanc:0;;;;;;0;;;;;0;;;0;1
2230502;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2230514;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2230531;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2230584;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2230526;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2230552;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230525;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2230556;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2230518;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230587;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2230649;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230601;Couleur:color:0;Blanc:0;;;;;;0;;;;;0;;;0;1
2230602;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2230614;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2230631;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2230684;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2230626;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2230652;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230625;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2230656;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2230618;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230687;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2230349;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230301;Couleur:color:0;Blanc:0;;;;;;0;;;;;0;;;0;1
2230302;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2230314;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2230331;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2230384;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2230326;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2230352;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230325;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2230356;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2230318;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2230387;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
