reference;quantity;id_shop
2025300;1;1
2100501;11;1
2100502;11;1
2100533;1;1
2100552;7;1
2202001;21;1
2202026;1;1
2202081;1;1
2204001;7;1
2204002;6;1
2204008;2;1
2204014;2;1
2204033;2;1
2204052;1;1
2204081;1;1
2230701;15;1
2230702;12;1
2230714;7;1
2230725;3;1
2230726;2;1
2230731;9;1
2230749;1;1
2230756;16;1
2230784;2;1
2230787;3;1
2253400;4;1
