Identifiant;Active (0/1);Nom;Catégorie parente;Catégorie racine (0/1);Description;Balise de titre;Méta mots-clés;Méta description;URL simplifiée;URL de l'image;ID ou nom de la boutique
2;1;Collections;;1;;;;;collections;;1
3;1;Bougies par thème;;0;;;;;bougies-par-theme;;1
4;1;Bougies parfumées;;0;;;;;bougies-parfumees;;1
5;1;Bougies décoratives;;0;;;;;bougies-decoratives;;1
6;1;Diffuseurs;;0;;;;;diffuseurs;;1
7;1;Accessoires;;0;;;;;nos-accessoires;;1
8;0;Box cadeaux;;0;;;;;box-cadeaux;;1
9;1;Offres spéciales;;0;;;;;offres-speciales;;1
