"ID";"Active";"Quantity"
"2391250";"1";"48"
"2390060";"0";"1"
"2391960";"0";"0"
"2390180";"1";"27"
"2390410";"0";"0"
"2390430";"0";"0"
"2390420";"0";"0"
"2391270";"1";"41"
"2390080";"0";"0"
"2391980";"0";"0"
"2390190";"1";"25"
"2391190";"1";"42"
"2389990";"1";"8"
"2391890";"0";"0"
"2390120";"1";"21"
"2391280";"1";"46"
"2389950";"1";"4"
"2391850";"0";"0"
"2390450";"1";"29"
"2391200";"1";"26"
"2391910";"0";"0"
"2390140";"1";"32"
"2391290";"1";"36"
"2389980";"0";"0"
"2391880";"0";"0"
"2390110";"1";"47"
"2391180";"1";"40"
"2391860";"0";"0"
"2390460";"1";"28"
"2391240";"1";"41"
"2390050";"0";"0"
"2391950";"0";"0"
"2390170";"1";"42"
"2391220";"1";"37"
"2391930";"0";"0"
"2390160";"1";"24"
"2391000";"1";"39"
"2389940";"1";"2"
"2391840";"0";"0"
"2390200";"1";"52"
"2391210";"1";"32"
"2391920";"0";"0"
"2390150";"1";"18"
"2391230";"1";"41"
"2390000";"0";"0"
"2391900";"0";"0"
"2390130";"1";"22"
"2387335";"1";"50"
"2387336";"1";"45"
"2388935";"1";"50"
"2388980";"1";"27"
"2387465";"1";"45"
"2387466";"1";"48"
"2388965";"1";"50"
"2388995";"1";"24"
"2387345";"1";"44"
"2387346";"1";"50"
"2388945";"1";"29"
"2388985";"1";"16"
"2387455";"1";"50"
"2387456";"1";"43"
"2388955";"1";"27"
"2388990";"1";"27"
"2387315";"1";"41"
"2387316";"1";"45"
"2388915";"1";"29"
"2388970";"1";"46"
"2387325";"1";"23"
"2387326";"1";"30"
"2388925";"1";"20"
"2388975";"1";"23"
"2429810";"1";"49"
"2476210";"1";"48"
"2429820";"1";"49"
"2476220";"1";"45"
"2429830";"1";"48"
"2476230";"1";"43"
"2429860";"1";"30"
"2476260";"1";"49"
"2429855";"1";"30"
"2476250";"1";"26"
"2429840";"1";"50"
"2476240";"1";"42"
"2429890";"1";"20"
"2429335";"1";"49"
"2429870";"1";"48"
"2429315";"1";"49"
"2429880";"1";"50"
"2429325";"1";"49"
"2423050";"1";"21"
"2425650";"1";"42"
"2423030";"1";"4"
"2425630";"1";"49"
"2423020";"1";"45"
"2425620";"1";"57"
"2423040";"1";"39"
"2425640";"1";"36"
"2423010";"1";"23"
"2425610";"1";"42"
