"ID";"Active";"Quantity"
"2392002";"1";"30"
"2392003";"1";"29"
"2392004";"1";"30"
"2392005";"1";"30"
"2392006";"1";"30"
"2392011";"1";"30"
"2392012";"1";"29"
"2392013";"1";"30"
"2392014";"1";"30"
"2392015";"1";"30"
"2392016";"1";"30"
"2392021";"1";"12"
"2392022";"1";"12"
"2392023";"1";"8"
"2392024";"1";"12"
"2392025";"1";"12"
"2392026";"1";"16"
"2392031";"1";"30"
"2392032";"1";"29"
"2392033";"1";"29"
"2392034";"1";"24"
"2392035";"1";"30"
"2392036";"1";"29"
"2392041";"1";"20"
"2392042";"1";"29"
"2392043";"1";"29"
"2392044";"1";"23"
"2392045";"1";"28"
"2392046";"1";"24"
"2392050";"1";"25"
"2392051";"1";"30"
"2392052";"1";"30"
"2392053";"1";"29"
"2392054";"1";"28"
"2392055";"1";"26"
"2392056";"1";"29"
"2386960";"1";"50"
"2386961";"1";"50"
"2386962";"1";"45"
"2386963";"1";"47"
"2386964";"1";"48"
"2386965";"1";"48"
"2386970";"1";"27"
"2386971";"1";"30"
"2386972";"1";"28"
"2386973";"1";"28"
"2386974";"1";"30"
"2386975";"1";"25"
"2510573";"0";"36"
"2510574";"0";"50"
"2510576";"0";"50"
"2510575";"0";"0"
"2510577";"0";"16"
"2510582";"0";"50"
"2510583";"0";"31"
"2510581";"0";"50"
"2510606";"0";"15"
"2510605";"0";"50"
"2700371";"0";"50"
"2510601";"0";"48"
"2510602";"0";"50"
"2510603";"0";"48"
"2510604";"0";"50"
"2510579";"0";"17"
"2510578";"0";"12"
"2510580";"0";"40"
"2510571";"0";"20"
"2510570";"0";"40"
"2510710";"0";"50"
"2510711";"0";"50"
"2700361";"0";"50"
"2700364";"0";"50"
"2700367";"0";"30"
"2700351";"0";"30"
"2700370";"0";"50"
"2700369";"0";"50"
"2700340";"0";"50"
"2700373";"0";"30"
"2700374";"0";"50"
"2700375";"0";"30"
"2459110";"0";"0"
"2459105";"0";"0"
"2459305";"0";"0"
"2459310";"0";"0"
"2459315";"0";"0"
"2510701";"0";"50"
"2510702";"0";"50"
"2510703";"0";"50"
"2510704";"0";"50"
"2700372";"0";"36"
"2510280";"0";"18"
"2700354";"0";"50"
"2700360";"0";"50"
"2700363";"0";"50"
"2700366";"0";"30"
"2700362";"0";"50"
"2700365";"0";"50"
"2700368";"0";"15"
"2510531";"0";"8"
"2510536";"0";"10"
"2510541";"0";"15"
