IdentifiaActive (0/Nom                                                   Categories (x,y,zPrix HTID règles de taxPrix d'achaEn soldes (0/Montant de réductiPourcentage de réductiRéduction de (aaaa-mm-Réduction à (aaaa-mm-RéférenceRéférence fournisseFournisseurFabricantEAN13         UPC  Eco taxeLargeur (cmHauteur (cm)Profondeur (cmPoids (kgQuantitéQuantité minimalVisibiliFrais de port supplémentUnitéRatio de prix unitDescription courte (hDescription (html)                                         Tags (x,y,z.Balise de titre       Méta mots-clés        Méta description      URL simplifiée                          Texte "En stocTexte "En commande" (si autorDisponible à la commande (0 = Non, 1 Date de disponibilité du pDate d'ajout d'un proAfficher le prix (0 = Non, URLs des images (x,y,z..Supprimer les images existantes (0 = non,Caractéristique(Nom:Valeur)                                                                                                 Disponible en ligne uniquement (0 = Non, EtatPersonnalisable (0 = Non, 1 =Fichiers téléchargeables (0 = Non, 1Champs text (0 = Non, 1 = Si rupture de stGestion des stocks avancID ou nom de la bouti
  2600640         1Bougie pot de peinture rose, 50h, parfum citronnelle  146,143,142        15,92               1                       0                                                                                     2600640                                        3023676006401            0                                                    40               1                                                                            <p>"Le bel été", c'est la saison qui donne envie de tout rabougie parfuBougie parfumée citron                      Découvrez la bougie enbougie-parfumee-pot-peinture-citronnelle                                                                               1                          2016-04-18                                     1                                                                0Hauteur:105,Diamètre:99,Poids:58,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemp                                        0                                0                                   0                         0               0                       0                    1
  2600642         1Bougie pot de peinture orange, 50h, parfum citronnelle146,143,142        15,92               1                       0                                                                                     2600642                                        3023676006425            0                                                    40               1                                                                            <p>Il regorge de soleil ce pot de peinture orange à la citrbougie parfuBougie parfumée citron                      Découvrez la bougie enbougie-parfumee-pot-peinture-citronnelle                                                                               1                          2016-04-18                                     1                                                                0Hauteur:105,Diamètre:99,Poids:58,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemp                                        0                                0                                   0                         0               0                       0                    1
  2600643         1Bougie pot de peinture turquoise, 50h, parfum citronne146,143,142        15,92               1                       0                                                                                     2600643                                        3023676006432            0                                                    40               1                                                                            <p>Plongez directement tous vos sens dans un mini lagon desbougie parfuBougie parfumée citron                      Découvrez la bougie pobougie-parfumee-pot-peinture-citronnelle                                                                               1                          2016-04-18                                     1                                                                0Hauteur:105,Diamètre:99,Poids:58,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemp                                        0                                0                                   0                         0               0                       0                    1
  2600641         1Bougie pot de peinture vert, 50h, parfum citronnelle  146,143,142        15,92               1                       0                                                                                     2600641                                        3023676006418            0                                                    40               1                                                                            <p>Teinte fraiche par nature, le vert de ce pot de peinturebougie parfuBougie parfumée citron                      Découvrez la bougie pobougie-parfumee-pot-peinture-citronnelle                                                                               1                          2016-04-18                                     1                                                                0Hauteur:105,Diamètre:99,Poids:58,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemp                                        0                                0                                   0                         0               0                       0                    1
  2600705         1Assortiment 3 bougies parfumées, 30h, pots céramique  145,143,142         38,4               1                       0                                                                                     2600705                                        3023676007057            0                                                    60               1                                                                            <p>Le charme et la délicatesse de cet assortiment de 3 bougbougie parfu3 bougies parfumées –                       Offrez-vous un assortiassortiment-bougie-parfumee-tropicales                                                                                 1                          2016-04-18                                     1                                                                0Hauteur:70,Diamètre:70,Poids:280,Durée de combustion:30 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                 0                                0                                   0                         0               0                       0                    1
  2600666         1Bougie parfumée Pink Paradise rose, 20h, verre bodega 145,143,142        11,92               1                       0                                                                                     2600666                                        3023676006661            0                                                    50               1                                                                            <p>C'est le cocktail "girly" par excellence ! Dans ce petitbougie parfuBougie parfumée Pink P                      Découvrez la bougie pabougie-parfumee-rose-pink-paradise                                                                                     1                          2016-04-18                                     1                                                                0Hauteur:63,Diamètre:70,Poids:255,Durée de combustion:20 heures,Collection:Escale Tropicale,Parfum:Pink Paradise,Thème:Printe                                        0                                0                                   0                         0               0                       0                    1
  2600668         1Bougie parfumée Tequila Sunrise orange, 20h, verre bod145,143,142        11,92               1                       0                                                                                     2600668                                        3023676006685            0                                                    50               1                                                                            <p>Osez la bougie parfumée Tequila Sunrise, ouverte comme ubougie parfuBougie parfumée Tequil                      Découvrez la bougie pabougie-parfumee-orange-tequila-sunrise                                                                                 1                          2016-04-18                                     1                                                                0Hauteur:63,Diamètre:70,Poids:255,Durée de combustion:20 heures,Collection:Escale Tropicale,Parfum:Tequila Sunrise,Thème:Prin                                        0                                0                                   0                         0               0                       0                    1
  2600669         1Bougie parfumée Blue Lagoon turquoise, 20h, verre bode145,143,142        11,92               1                       0                                                                                     2600669                                        3023676006692            0                                                    50               1                                                                            <p>Pour se retrouver en un instant à siroter un cocktail libougie parfuBougie parfumée Blue L                      Découvrez la bougie pabougie-parfumee-turquoise-blue-lagoon                                                                                  1                          2016-04-18                                     1                                                                0Hauteur:63,Diamètre:70,Poids:255,Durée de combustion:20 heures,Collection:Escale Tropicale,Parfum:Blue Lagoon,Thème:Printemp                                        0                                0                                   0                         0               0                       0                    1
  2600667         1Bougie parfumée Pina Colada vert, 20h, verre bodega   145,143,142        11,92               1                       0                                                                                     2600667                                        3023676006678            0                                                    50               1                                                                            <p>Inspirée du fameux long-drink au cœur onctueux et lactéebougie parfuBougie parfumée Pina C                      Découvrez la bougie pabougie-parfumee-verte-pina-colada                                                                                      1                          2016-04-18                                     1                                                                0Hauteur:63,Diamètre:70,Poids:255,Durée de combustion:20 heures,Collection:Escale Tropicale,Parfum:Pina Colada,Thème:Printemp                                        0                                0                                   0                         0               0                       0                    1
  2600610         1Bougie parfumée bonbonnière rose, 50h, Hawaiian Wind  145,143,142        15,96               1                       0                                                                                     2600610                                        3023676006104            0                                                    10               1                                                                            <p>Le vent hawaïen est venu disposer ses pétales de fleurs bougie parfuBougie parfumée bonbon                      Découvrez la bougie pabougie-parfumee-rose-bonbonniere-hawaiia                                                                               1                          2016-04-18                                     1                                                                0Hauteur:100,Diamètre:93,Poids:655,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Hawaiian Wind,Thème:Print                                        0                                0                                   0                         0               0                       0                    1
  2600612         1Bougie parfumée bonbonnière orange, 50h, Caraibean Sun145,143,142        15,96               1                       0                                                                                     2600612                                        3023676006128            0                                                    10               1                                                                            <p>Délicatement tapissée de jasmin, la bougie parfumée en bbougie parfuBougie parfumée bonbon                      Découvrez la bougie pabougie-parfumee-orange-bonbonniere-carai                                                                               1                          2016-04-18                                     1                                                                0Hauteur:100,Diamètre:93,Poids:655,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Caraibean Sun,Thème:Print                                        0                                0                                   0                         0               0                       0                    1
  2600613         1Bougie parfumée bonbonnière turquoise, 50h, Tropical T145,143,142        15,96               1                       0                                                                                     2600613                                        3023676006135            0                                                    20               1                                                                            <p>Amassées sur les rives, des feuilles de palme créent le bougie parfuBougie parfumée bonbon                      Découvrez la bougie pabougie-parfumee-turquoise-bonbonniere-tr                                                                               1                          2016-04-18                                     1                                                                0Hauteur:100,Diamètre:93,Poids:655,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Tropical Trip,Thème:Print                                        0                                0                                   0                         0               0                       0                    1
